source_file,source_id,title,axiom,definitions,action,boundary,test,dg1_dependencies,dg2_new_capability,dg3_preserved_floor,dg4_collapse_if_removed,dg5_translation_registers,dg6_state,dg7_admissible,dg8_closure_pass,claim_class,proof_label,grade,recommended_atom_action,overstatement_risks,kill_conditions,lean_target,plain_summary
AX-018_Divine_Axiom_18.md,AX-018_Divine_Axiom_18,AX-018_Divine_Axiom_18,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-019_Divine_Axiom_19.md,AX-019_Divine_Axiom_19,AX-019_Divine_Axiom_19,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-020_Divine_Axiom_20.md,AX-020_Divine_Axiom_20,AX-020_Divine_Axiom_20,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-021_Divine_Axiom_21.md,AX-021_Divine_Axiom_21,AX-021_Divine_Axiom_21,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-022_Divine_Axiom_22.md,AX-022_Divine_Axiom_22,AX-022_Divine_Axiom_22,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-023_Divine_Axiom_23.md,AX-023_Divine_Axiom_23,AX-023_Divine_Axiom_23,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-024_Divine_Axiom_24.md,AX-024_Divine_Axiom_24,AX-024_Divine_Axiom_24,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-025_Divine_Axiom_25.md,AX-025_Divine_Axiom_25,AX-025_Divine_Axiom_25,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-026_Divine_Axiom_26.md,AX-026_Divine_Axiom_26,AX-026_Divine_Axiom_26,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-027_Divine_Axiom_27.md,AX-027_Divine_Axiom_27,AX-027_Divine_Axiom_27,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-028_Divine_Axiom_28.md,AX-028_Divine_Axiom_28,AX-028_Divine_Axiom_28,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-029_Divine_Axiom_29.md,AX-029_Divine_Axiom_29,AX-029_Divine_Axiom_29,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
